Unnamed: 0,ResponseId,attention,sentence_name,answer,survey,row_id,score,sentence_id,probe_type,probe_number,interval_length,version,complexity,concept_tag
1,R_2E70Gw66U1MFTey,6,abovetruthvaluequery2,False,1,1,1,above,truth_value,2,4,original,1.0,geometry
2,R_2E70Gw66U1MFTey,6,agetruthvaluequery1,True,1,2,1,age,truth_value,1,4,original,1.0,temporal
3,R_2E70Gw66U1MFTey,6,directionstruthvaluequery2,True,1,3,0,directions,truth_value,2,2,original,1.0,geometry
4,R_2E70Gw66U1MFTey,6,goingtruthvaluequery1,False,1,4,1,going,truth_value,1,5,original,1.0,social
5,R_2E70Gw66U1MFTey,6,surprisetruthvaluequery1,False,1,5,0,surprise,truth_value,1,4,original,1.0,social
6,R_2E70Gw66U1MFTey,6,largesttruthvaluequery1,False,1,6,1,largest,truth_value,1,1,original,2.0,numerosity
7,R_2E70Gw66U1MFTey,6,shadowtruthvaluequery1,False,1,7,0,shadow,truth_value,1,0,original,2.0,geometry
8,R_2E70Gw66U1MFTey,6,surroundingtruthvaluequery1,True,1,8,1,surrounding,truth_value,1,0,original,3.0,geometry
9,R_2E70Gw66U1MFTey,6,alivetruthvaluequery1,True,1,9,1,alive,truth_value,1,3,original,3.0,temporal
10,R_2E70Gw66U1MFTey,6,ToMtruthvaluequery1,False,1,10,1,ToM,truth_value,1,5,original,3.0,social
24,R_2NqrbPJBbwZJZ2j,6,abovetruthvaluequery2,False,1,369,1,above,truth_value,2,4,original,1.0,geometry
25,R_2NqrbPJBbwZJZ2j,6,agetruthvaluequery1,True,1,370,1,age,truth_value,1,4,original,1.0,temporal
26,R_2NqrbPJBbwZJZ2j,6,directionstruthvaluequery2,False,1,371,1,directions,truth_value,2,2,original,1.0,geometry
27,R_2NqrbPJBbwZJZ2j,6,goingtruthvaluequery1,False,1,372,1,going,truth_value,1,5,original,1.0,social
28,R_2NqrbPJBbwZJZ2j,6,surprisetruthvaluequery1,False,1,373,0,surprise,truth_value,1,4,original,1.0,social
29,R_2NqrbPJBbwZJZ2j,6,largesttruthvaluequery1,False,1,374,1,largest,truth_value,1,1,original,2.0,numerosity
30,R_2NqrbPJBbwZJZ2j,6,shadowtruthvaluequery1,True,1,375,1,shadow,truth_value,1,0,original,2.0,geometry
31,R_2NqrbPJBbwZJZ2j,6,surroundingtruthvaluequery1,True,1,376,1,surrounding,truth_value,1,0,original,3.0,geometry
32,R_2NqrbPJBbwZJZ2j,6,alivetruthvaluequery1,True,1,377,1,alive,truth_value,1,3,original,3.0,temporal
33,R_2NqrbPJBbwZJZ2j,6,ToMtruthvaluequery1,True,1,378,1,ToM,truth_value,1,5,original,3.0,social
47,R_8Dqscx89to7KD0R,7,abovetruthvaluequery2,False,1,461,1,above,truth_value,2,4,original,1.0,geometry
48,R_8Dqscx89to7KD0R,7,agetruthvaluequery1,True,1,462,1,age,truth_value,1,4,original,1.0,temporal
49,R_8Dqscx89to7KD0R,7,directionstruthvaluequery2,False,1,463,1,directions,truth_value,2,2,original,1.0,geometry
50,R_8Dqscx89to7KD0R,7,goingtruthvaluequery1,False,1,464,1,going,truth_value,1,5,original,1.0,social
51,R_8Dqscx89to7KD0R,7,surprisetruthvaluequery1,False,1,465,0,surprise,truth_value,1,4,original,1.0,social
52,R_8Dqscx89to7KD0R,7,largesttruthvaluequery1,False,1,466,1,largest,truth_value,1,1,original,2.0,numerosity
53,R_8Dqscx89to7KD0R,7,shadowtruthvaluequery1,True,1,467,1,shadow,truth_value,1,0,original,2.0,geometry
54,R_8Dqscx89to7KD0R,7,surroundingtruthvaluequery1,True,1,468,1,surrounding,truth_value,1,0,original,3.0,geometry
55,R_8Dqscx89to7KD0R,7,alivetruthvaluequery1,False,1,469,0,alive,truth_value,1,3,original,3.0,temporal
56,R_8Dqscx89to7KD0R,7,ToMtruthvaluequery1,True,1,470,1,ToM,truth_value,1,5,original,3.0,social
70,R_8bOGdtWxRLYfKbt,7,abovetruthvaluequery2,False,1,93,1,above,truth_value,2,4,original,1.0,geometry
71,R_8bOGdtWxRLYfKbt,7,agetruthvaluequery1,True,1,94,1,age,truth_value,1,4,original,1.0,temporal
72,R_8bOGdtWxRLYfKbt,7,directionstruthvaluequery2,False,1,95,1,directions,truth_value,2,2,original,1.0,geometry
73,R_8bOGdtWxRLYfKbt,7,goingtruthvaluequery1,False,1,96,1,going,truth_value,1,5,original,1.0,social
