Unnamed: 0,ResponseId,attention,sentence_name,answer,survey,row_id,score,sentence_id,probe_type,probe_number,interval_length,version,complexity,concept_tag
11,R_2E70Gw66U1MFTey,6,eatingcontinuationprompt3,"Next, you see that the salad is gone.",1,11,1,eating,continuation,3,3,original,1.0,objectness
12,R_2E70Gw66U1MFTey,6,comingcontinuationprompt1,"Next, you see your friend inside the house.",1,12,0,coming,continuation,1,2,original,1.0,social
13,R_2E70Gw66U1MFTey,6,taste2continuationprompt3,"Next, you taste something bad.",1,13,1,taste2,continuation,3,4,original,1.0,temporal
14,R_2E70Gw66U1MFTey,6,colorcontinuationprompt2,"Next, you notice how the blocks are different colors.",1,14,1,color,continuation,2,0,original,2.0,geometry
15,R_2E70Gw66U1MFTey,6,farcontinuationprompt2,"Next, you notice that the train is nearby.",1,15,0,far,continuation,2,3,original,2.0,objectness
16,R_2E70Gw66U1MFTey,6,morecontinuationprompt3,"Next, you notice that there are less beads in the bowl than in the cup.",1,16,0,more,continuation,3,1,original,2.0,numerosity
17,R_2E70Gw66U1MFTey,6,completioncontinuationprompt1,"Next, you look back at the complete form.",1,17,1,completion,continuation,1,3,original,2.0,social
18,R_2E70Gw66U1MFTey,6,emptycontinuationprompt2,"Next, you pick up the empty box.",1,18,1,empty,continuation,2,5,original,2.0,geometry
19,R_2E70Gw66U1MFTey,6,smallestcontinuationprompt2,"Next, you see the smaller item in the box.",1,19,1,smallest,continuation,2,2,original,3.0,numerosity
20,R_2E70Gw66U1MFTey,6,continuation3continuationprompt3,"Next, you take money from the safe.",1,20,0,continuation3,continuation,3,0,original,3.0,temporal
21,R_2E70Gw66U1MFTey,6,cuttingcontinuationprompt2,"Next, you look at the fence from outside the garden.",1,21,0,cutting,continuation,2,1,original,3.0,geometry
22,R_2E70Gw66U1MFTey,6,reciprocitycontinuationprompt2,"Next, you offer to return the favor",1,22,1,reciprocity,continuation,2,2,original,3.0,social
23,R_2E70Gw66U1MFTey,6,speedcontinuationprompt1,"Now, you will arrive earlier to your friend's house.",1,23,1,speed,continuation,1,1,original,3.0,temporal
34,R_2NqrbPJBbwZJZ2j,6,eatingcontinuationprompt3,"Next, you see that the salad is gone.",1,379,1,eating,continuation,3,3,original,1.0,objectness
35,R_2NqrbPJBbwZJZ2j,6,comingcontinuationprompt1,"Next, you see your friend inside the house.",1,380,0,coming,continuation,1,2,original,1.0,social
36,R_2NqrbPJBbwZJZ2j,6,taste2continuationprompt3,"Next, you taste something good.",1,381,0,taste2,continuation,3,4,original,1.0,temporal
37,R_2NqrbPJBbwZJZ2j,6,colorcontinuationprompt2,"Next, you notice how the blocks are different colors.",1,382,1,color,continuation,2,0,original,2.0,geometry
38,R_2NqrbPJBbwZJZ2j,6,farcontinuationprompt2,"Next, you notice that the train is far away.",1,383,1,far,continuation,2,3,original,2.0,objectness
39,R_2NqrbPJBbwZJZ2j,6,morecontinuationprompt3,"Next, you notice that there are less beads in the bowl than in the cup.",1,384,0,more,continuation,3,1,original,2.0,numerosity
40,R_2NqrbPJBbwZJZ2j,6,completioncontinuationprompt1,"Next, you look back at the complete form.",1,385,1,completion,continuation,1,3,original,2.0,social
41,R_2NqrbPJBbwZJZ2j,6,emptycontinuationprompt2,"Next, you pick up the empty box.",1,386,1,empty,continuation,2,5,original,2.0,geometry
42,R_2NqrbPJBbwZJZ2j,6,smallestcontinuationprompt2,"Next, you see the smaller item in the box.",1,387,1,smallest,continuation,2,2,original,3.0,numerosity
43,R_2NqrbPJBbwZJZ2j,6,continuation3continuationprompt3,"Next, you take money from the safe.",1,388,0,continuation3,continuation,3,0,original,3.0,temporal
44,R_2NqrbPJBbwZJZ2j,6,cuttingcontinuationprompt2,"Next, you look at the fence from outside the garden.",1,389,0,cutting,continuation,2,1,original,3.0,geometry
45,R_2NqrbPJBbwZJZ2j,6,reciprocitycontinuationprompt2,"Next, you offer to return the favor",1,390,1,reciprocity,continuation,2,2,original,3.0,social
46,R_2NqrbPJBbwZJZ2j,6,speedcontinuationprompt1,"Now, you will arrive earlier to your friend's house.",1,391,1,speed,continuation,1,1,original,3.0,temporal
57,R_8Dqscx89to7KD0R,7,eatingcontinuationprompt3,"Next, you see that the salad is gone.",1,471,1,eating,continuation,3,3,original,1.0,objectness
58,R_8Dqscx89to7KD0R,7,comingcontinuationprompt1,"Next, you see your friend outside the house.",1,472,1,coming,continuation,1,2,original,1.0,social
59,R_8Dqscx89to7KD0R,7,taste2continuationprompt3,"Next, you taste something bad.",1,473,1,taste2,continuation,3,4,original,1.0,temporal
60,R_8Dqscx89to7KD0R,7,colorcontinuationprompt2,"Next, you notice how the blocks are different colors.",1,474,1,color,continuation,2,0,original,2.0,geometry
61,R_8Dqscx89to7KD0R,7,farcontinuationprompt2,"Next, you notice that the train is nearby.",1,475,0,far,continuation,2,3,original,2.0,objectness
62,R_8Dqscx89to7KD0R,7,morecontinuationprompt3,"Next, you notice that there are more beads in the bowl than in the cup.",1,476,1,more,continuation,3,1,original,2.0,numerosity
63,R_8Dqscx89to7KD0R,7,completioncontinuationprompt1,"Next, you look back at the complete form.",1,477,1,completion,continuation,1,3,original,2.0,social
64,R_8Dqscx89to7KD0R,7,emptycontinuationprompt2,"Next, you pick up the empty box.",1,478,1,empty,continuation,2,5,original,2.0,geometry
65,R_8Dqscx89to7KD0R,7,smallestcontinuationprompt2,"Next, you see the smaller item in the box.",1,479,1,smallest,continuation,2,2,original,3.0,numerosity
66,R_8Dqscx89to7KD0R,7,continuation3continuationprompt3,"Next, you take a nothing from the safe.",1,480,1,continuation3,continuation,3,0,original,3.0,temporal
67,R_8Dqscx89to7KD0R,7,cuttingcontinuationprompt2,"Next, you look at the fence from outside the garden.",1,481,0,cutting,continuation,2,1,original,3.0,geometry
68,R_8Dqscx89to7KD0R,7,reciprocitycontinuationprompt2,"Next, you offer to return the favor",1,482,1,reciprocity,continuation,2,2,original,3.0,social
69,R_8Dqscx89to7KD0R,7,speedcontinuationprompt1,"Now, you will arrive earlier to your friend's house.",1,483,1,speed,continuation,1,1,original,3.0,temporal
80,R_8bOGdtWxRLYfKbt,7,eatingcontinuationprompt3,"Next, you see that the salad is gone.",1,103,1,eating,continuation,3,3,original,1.0,objectness
81,R_8bOGdtWxRLYfKbt,7,comingcontinuationprompt1,"Next, you see your friend inside the house.",1,104,0,coming,continuation,1,2,original,1.0,social
82,R_8bOGdtWxRLYfKbt,7,taste2continuationprompt3,"Next, you taste something good.",1,105,0,taste2,continuation,3,4,original,1.0,temporal
83,R_8bOGdtWxRLYfKbt,7,colorcontinuationprompt2,"Next, you notice how the blocks are different colors.",1,106,1,color,continuation,2,0,original,2.0,geometry
