sentence-id,interval-length,model,base_sentence_name,complexity,concept_tag,has_tag,item1_correct,item2_correct,both_correct,percent_items_correct,percent_both_correct
ToM,1,gemma2-27b-instruct,ToM_interval_1,3.0,Social,True,True,True,True,100.0,100
ToM,1,gemma2-9b-instruct,ToM_interval_1,3.0,Social,True,True,False,False,50.0,0
ToM,1,llama3.1-70b-instruct,ToM_interval_1,3.0,Social,True,True,True,True,100.0,100
ToM,1,llama3.1-8b-instruct,ToM_interval_1,3.0,Social,True,True,True,True,100.0,100
ToM,1,llama3.2-3b-instruct,ToM_interval_1,3.0,Social,True,True,True,True,100.0,100
ToM,1,mistral-7b-instruct-v0.3,ToM_interval_1,3.0,Social,True,True,False,False,50.0,0
ToM,1,mixtral-8x7b-instruct,ToM_interval_1,3.0,Social,True,False,True,False,50.0,0
ToM,2,gemma2-27b-instruct,ToM_interval_2,3.0,Social,True,True,False,False,50.0,0
ToM,2,gemma2-9b-instruct,ToM_interval_2,3.0,Social,True,True,False,False,50.0,0
ToM,2,llama3.1-70b-instruct,ToM_interval_2,3.0,Social,True,True,True,True,100.0,100
ToM,2,llama3.1-8b-instruct,ToM_interval_2,3.0,Social,True,True,True,True,100.0,100
ToM,2,llama3.2-3b-instruct,ToM_interval_2,3.0,Social,True,False,True,False,50.0,0
ToM,2,mistral-7b-instruct-v0.3,ToM_interval_2,3.0,Social,True,True,False,False,50.0,0
ToM,2,mixtral-8x7b-instruct,ToM_interval_2,3.0,Social,True,True,True,True,100.0,100
ToM,3,gemma2-27b-instruct,ToM_interval_3,3.0,Social,True,True,False,False,50.0,0
ToM,3,gemma2-9b-instruct,ToM_interval_3,3.0,Social,True,True,False,False,50.0,0
ToM,3,llama3.1-70b-instruct,ToM_interval_3,3.0,Social,True,True,True,True,100.0,100
ToM,3,llama3.1-8b-instruct,ToM_interval_3,3.0,Social,True,False,True,False,50.0,0
ToM,3,llama3.2-3b-instruct,ToM_interval_3,3.0,Social,True,False,True,False,50.0,0
ToM,3,mistral-7b-instruct-v0.3,ToM_interval_3,3.0,Social,True,True,False,False,50.0,0
ToM,3,mixtral-8x7b-instruct,ToM_interval_3,3.0,Social,True,True,False,False,50.0,0
ToM,4,gemma2-27b-instruct,ToM_interval_4,3.0,Social,True,True,False,False,50.0,0
ToM,4,gemma2-9b-instruct,ToM_interval_4,3.0,Social,True,True,False,False,50.0,0
ToM,4,llama3.1-70b-instruct,ToM_interval_4,3.0,Social,True,False,True,False,50.0,0
ToM,4,llama3.1-8b-instruct,ToM_interval_4,3.0,Social,True,False,False,False,0.0,0
ToM,4,llama3.2-3b-instruct,ToM_interval_4,3.0,Social,True,False,False,False,0.0,0
ToM,4,mistral-7b-instruct-v0.3,ToM_interval_4,3.0,Social,True,True,False,False,50.0,0
ToM,4,mixtral-8x7b-instruct,ToM_interval_4,3.0,Social,True,True,False,False,50.0,0
ToM,5,gemma2-27b-instruct,ToM_interval_5,3.0,Social,True,True,False,False,50.0,0
ToM,5,gemma2-9b-instruct,ToM_interval_5,3.0,Social,True,True,False,False,50.0,0
ToM,5,llama3.1-70b-instruct,ToM_interval_5,3.0,Social,True,False,True,False,50.0,0
